,participant_id,condition,difficulty,frequency,instance,time_1st_fix_Diagnostics,time_1st_fix_Diagnostics_norm,visit_count_Actions,visit_count_Actions_norm,visit_len_Description,visit_len_Description_norm
89,14,Easy Fast,Easy,Fast,2,5.535378015958345,2.6688730170032295,3.4615384615384617,1.1793204786828693,2.0381036553627405,0.7450042289072868
90,14,Easy Slow,Easy,Slow,1,11.957648004804339,4.814798907299081,2.4285714285714284,0.8551318640216353,2.3303008679629995,0.8928303963273108
91,14,Easy Slow,Easy,Slow,2,9.309627056121826,4.0275588804106395,1.7142857142857142,0.5270103853444862,2.603933198111398,1.0172411418051983
92,14,Hard Fast,Hard,Fast,1,15.026904046535492,5.621895741362067,5.625,1.6080911246168796,2.739807631075382,1.0748230326558126
93,14,Hard Fast,Hard,Fast,2,10.885616755485534,4.508121455361827,4.0,1.30883381067823,2.708553274207645,1.0618025032819491
94,14,Hard Slow,Hard,Slow,1,19.674223804473876,6.696476065137834,4.2,1.3521864272753974,2.889302090406418,1.1353624905982975
95,14,Hard Slow,Hard,Slow,2,12.560140371322632,4.980965910938463,3.1666666666666665,1.0987818713509578,2.6246263550387487,1.026177667295176
96,15,Easy Fast,Easy,Fast,1,5.067555955478123,2.470324666655946,2.7857142857142856,0.9817764773753895,1.3549365495135184,0.3096543097917879
97,15,Easy Fast,Easy,Fast,2,3.6530077317181755,1.804411201753756,2.764705882352941,0.9748267445044806,1.0880455589956708,0.08483411577256553
98,15,Easy Slow,Easy,Slow,1,5.789894172123501,2.773274882965914,1.5,0.3986570685856805,1.520619863555545,0.4304051013669553
99,15,Easy Slow,Easy,Slow,2,8.931370564869471,3.9061133578593195,2.0,0.6734091279065213,1.4579718623842512,0.38616479544580967
100,15,Hard Fast,Hard,Fast,1,7.66945680975914,3.4805559463061586,4.625,1.437316603862868,1.2000932631935892,0.1845156827298224
101,15,Hard Fast,Hard,Fast,2,3.7151866299765453,1.8362212936447215,4.0,1.30883381067823,0.9993653558549427,-0.0006348201756728146
102,15,Hard Slow,Hard,Slow,1,9.452922344207764,4.072902200215031,4.333333333333333,1.3798630026964909,3.3696075800865413,1.3129053066636047
103,15,Hard Slow,Hard,Slow,2,5.026338855425517,2.452388214020634,4.333333333333333,1.3798630026964909,1.4521672496246911,0.3819821157150521
104,16,Easy Fast,Easy,Fast,1,6.96061863899231,3.225585099615446,1.8181818181818181,0.5831150860008268,1.915973346233368,0.6776609324048223
105,16,Easy Fast,Easy,Fast,2,4.963721233255723,2.4249936067402786,2.357142857142857,0.8273825195050134,1.450583367955451,0.3808382677788848
106,16,Easy Slow,Easy,Slow,1,11.552255670229593,4.700558021886184,2.1666666666666665,0.7486843061452407,2.0222573233029197,0.7364688416502395
107,16,Easy Slow,Easy,Slow,2,9.552341401576996,4.104154375030096,1.7142857142857142,0.5270103853444862,1.1576113055149715,0.14771925925023163
108,16,Hard Fast,Hard,Fast,1,4.490366642291729,2.2118839047650276,2.769230769230769,0.9763284349900425,1.852286629187755,0.641042010026774
109,16,Hard Fast,Hard,Fast,2,3.6098232085888204,1.782154386681855,3.769230769230769,1.255793129284058,1.3751163556025578,0.3250303472164605
110,16,Hard Slow,Hard,Slow,1,20.17321095466614,6.803689572130397,3.4,1.1631425567246498,2.574622510255329,1.0044762717764868
111,16,Hard Slow,Hard,Slow,2,10.321870156696864,4.340604197677685,2.142857142857143,0.7383226262632785,2.6645174480619884,1.043232644305926
112,17,Easy Fast,Easy,Fast,1,5.974991035461426,2.8477269463463255,1.9285714285714286,0.6390405232937969,2.0040357947349547,0.726581554004532
113,17,Easy Fast,Easy,Fast,2,7.656224063464573,3.4759098038783183,2.727272727272727,0.9623005592494318,1.5430220191576043,0.44583884564068105
114,17,Easy Slow,Easy,Slow,1,15.286202788352966,5.686016853488267,2.1666666666666665,0.7486843061452407,2.1963555299573474,0.8272049937907152
