participant_id,block_id,block_type,task_id,start_timestamp,reaction_time,clicked_timestamp,completion_time,end_timestamp,errors,task_code,block_data
17,8,6,13,1711533481.3370013,1.2517311999999947,1711533482.5887325,41.83207840000023,1711533524.420811,0,MAV#8539,"[np.float64(1711533237.2395031), 306.03672929999993, np.float64(1711533543.2762325)]"
17,8,6,14,1711533525.4295244,1.211025399999926,1711533526.6405497,15.245849799999633,1711533541.8863995,0,MAV#7340,"[np.float64(1711533237.2395031), 306.03672929999993, np.float64(1711533543.2762325)]"
18,1,2,1,1711549954.6446388,2.2343750000000018,1711549956.8790138,28.1697388,1711549985.0487525,0,MAV#5747,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,2,1711549986.0508888,1.0958221999999935,1711549987.1467109,27.502441200000007,1711550014.649152,0,MAV#8694,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,3,1711550017.6524143,1.8574586749999893,1711550019.5098732,22.892578125,1711550042.4024513,0,MAV#8571,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,4,1711550047.4076371,1.4303609749999993,1711550048.8379982,24.35937500000001,1711550073.1973732,0,MAV#7369,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,5,1711550076.2029455,1.5803650750000315,1711550077.7833107,30.369140625,1711550108.1524513,0,MAV#0868,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,6,1711550113.1563575,1.375,1711550114.5313575,27.349743149999995,1711550141.8811007,0,MAV#9436,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,7,1711550146.8848732,1.46875,1711550148.3536232,26.869521924999987,1711550175.223145,0,MAV#7599,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,8,1711550178.22667,1.712890625,1711550179.9395607,36.455078125,1711550216.3946388,0,MAV#4373,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,9,1711550221.398545,2.357421875,1711550223.755967,28.962890625,1711550252.7188575,1,MAV#8034,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,1,2,10,1711550253.7227638,1.895810899999958,1711550255.6185746,26.50120670000007,1711550282.1197813,0,MAV#7112,"[np.float64(1711549954.6420121), 328.00653285, np.float64(1711550282.648545)]"
18,2,4,1,1711550450.3419044,1.6914062499999432,1711550452.0333107,32.917134125000075,1711550484.9504447,1,MAV#5494,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,2,1711550485.959092,1.8828125,1711550487.8419044,40.84375,1711550528.6856544,1,MAV#7398,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,3,1711550532.6915138,1.2200058000000809,1711550533.9115195,35.84804179999992,1711550569.7595613,1,MAV#6215,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,4,1711550574.7642045,1.179262324999968,1711550575.943467,33.67822037500002,1711550609.6216872,0,MAV#0274,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,5,1711550614.6263871,0.9821681999999328,1711550615.6085553,37.500237400000174,1711550653.1087928,0,MAV#7001,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,6,1711550655.1107621,1.930360974999985,1711550657.0411232,36.51953125,1711550693.5606544,0,MAV#5649,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,7,1711550697.5638871,0.4658136000000468,1711550698.0297008,40.03290674999994,1711550738.0626075,0,MAV#8880,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,2,4,8,1711550741.0743263,0.650390625,1711550741.724717,29.57940937500007,1711550771.3041263,3,MAV#8214,"[np.float64(1711550450.3399513), 321.7721929, np.float64(1711550772.112144)]"
18,3,1,1,1711550890.5665138,0.6979245999999648,1711550891.2644384,18.727856650000035,1711550909.992295,0,MAV#4465,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
18,3,1,2,1711550942.9954226,1.1062474499999553,1711550944.10167,18.17578125,1711550962.2774513,2,MAV#4231,"[np.float64(1711550890.561403), 321.74339195000005, np.float64(1711551212.304795)]"
