participant_id,difficulty,frequency,area,instance,duration,fix_count,fix_freq,time_1st_fix,visit_count,visit_freq,visit_len,dwell_pct,stat_entropy,trans_entropy
17,Hard,Fast,Actions,1,"[166.11358571429133, 176.7131093750436, 152.31169999997292, 160.50443749995225, 168.82906249995244, 171.53384782606102, 165.9945500000049]","[35, 32, 10, 16, 16, 23, 20]","[0.7574156173414709, 0.682033951545937, 0.2171331636980492, 0.4009811255867555, 0.4433545865920684, 0.6488408770768439, 0.5474764756201882]","[14.92227292060852, 0.08951544761657715, 0.0011987686157226562, 0.2066338062286377, 0.16465091705322266, 18.823028802871704, 19.161782026290894]","[8, 4, 4, 6, 3, 3, 4]","[0.17312356967805048, 0.08525424394324213, 0.08685326547921968, 0.15036792209503333, 0.08312898498601282, 0.08463141874915354, 0.10949529512403763]","[0.7969506978988647, 1.4849961400032043, 0.4085612893104553, 0.45315444469451904, 0.9612862269083658, 1.3934532006581624, 0.8719921112060547]","[14.573109861123168, 13.026289993800278, 3.717428044884353, 7.218499073160063, 8.375027479327755, 12.383414671719569, 10.25177456027076]","[1.37, 1.43, 1.29, 1.36, 1.35, 1.44, 1.32]","[0.44, 0.42, 0.43, 0.44, 0.39, 0.41, 0.43]"
17,Hard,Fast,Actions,2,"[148.0695000002145, 157.20687500026997, 176.15337499978523, 166.38271428581945, 166.3766153846714, 160.64094444421548, 177.59549999987536, 183.52249999991596, 152.13404999994964, 158.0753000002005, 180.01827272717657]","[14, 8, 8, 21, 13, 9, 9, 7, 10, 10, 22]","[0.45989478824780333, 0.3467040328772947, 0.21505864246290596, 0.6815955351415521, 0.30819164748804173, 0.3683207551080042, 0.36655493245064596, 0.24817609328932488, 0.39936751778151636, 0.3341693840792386, 0.6707159024417942]","[10.034749984741211, 10.49072790145874, 3.52247953414917, 0.64361572265625, 0.31903862953186035, 15.39726710319519, 1.5687479972839355, 0.3471953868865967, 0.06299805641174316, 0.26640748977661133, 0.01089334487915039]","[3, 1, 3, 4, 6, 1, 4, 2, 5, 2, 4]","[0.09854888319595785, 0.043338004109661835, 0.08064699092358973, 0.12982772097934328, 0.14224229884063463, 0.040924528345333805, 0.16291330331139822, 0.07090745522552139, 0.19968375889075818, 0.06683387681584772, 0.12194834589850806]","[0.731139341990153, 1.3358254432678223, 0.5104396343231201, 0.9374505281448364, 0.3671525716781616, 1.521981954574585, 0.40621644258499146, 0.7034019231796265, 0.33727259635925294, 0.8624019622802734, 1.0536209344863892]","[7.530252896941975, 6.030086102943615, 4.244406175194175, 12.850402383902631, 5.568589301040355, 6.875127327045123, 6.992577660593337, 5.348259669233907, 7.108626947031771, 6.042719497077751, 13.254728478034835]","[1.41, 1.44, 1.29, 1.23, 1.13, 1.38, 1.3, 1.27, 1.17, 1.19, 1.46]","[0.44, 0.41, 0.43, 0.43, 0.43, 0.42, 0.42, 0.42, 0.44, 0.39, 0.42]"
18,Easy,Slow,Ticket,1,"[139.59740000027523, 155.2708999999595, 150.05475000089064, 186.04499999992186, 164.28283333304233, 202.7012692306016, 218.4127499999704]","[5.0, 5.0, 2.0, 4.0, 3.0, 13.0, 2.0]","[0.2573899054896441, 0.25930881466129885, 0.11265023189185104, 0.2419468270395208, 0.18624954253237058, 0.6998856212399133, 0.09935865133131003]","[1.8269400596618652, 2.238063097000122, 2.359245777130127, 2.133260488510132, 2.257277727127075, 0.1642618179321289, 2.2711756229400635]","[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0]","[0.05147798109792882, 0.05186176293225977, 0.11265023189185104, 0.0604867067598802, 0.06208318084412352, 0.10767471095998667, 0.049679325665655014]","[0.7140343189239502, 0.8460161685943604, 0.15005481243133545, 0.7562384605407715, 0.5000226497650146, 1.3450069427490234, 0.44080662727355957]","[3.8907953486469893, 4.679128734103228, 1.7958051024792219, 4.6402287867236565, 3.185437149302386, 15.061353725803956, 2.332347610176191]","[1.41, 1.23, 1.24, 1.23, 1.06, 1.35, 1.23]","[0.46, 0.41, 0.4, 0.38, 0.42, 0.42, 0.41]"
18,Easy,Slow,Ticket,2,"[179.90228571449865, 197.33444444409542, 165.6048999997438, nan, 151.77133333357537, 191.9133750002402, nan]","[7.0, 9.0, 5.0, nan, 3.0, 4.0, nan]","[0.39358664616736216, 0.5700932249166477, 0.29793788932541765, nan, 0.12935906632099534, 0.17382447801731454, nan]","[1.0198485851287842, 0.7496037483215332, 0.3567526340484619, nan, 2.2785892486572266, 3.0776474475860596, nan]","[2.0, 1.0, 3.0, nan, 1.0, 1.0, nan]","[0.1124533274763892, 0.0633436916574053, 0.17876273359525058, nan, 0.04311968877366511, 0.043456119504328636, nan]","[0.6390331983566284, 1.8081002235412598, 0.2793267567952474, nan, 0.46169209480285645, 0.8090744018554688, nan]","[7.475272685534535, 11.834708073600163, 5.473896752700892, nan, 2.039524914069577, 3.6569992825457573, nan]","[1.43, 1.12, 1.18, 0.99, 1.02, 1.03, 1.29]","[0.43, 0.39, 0.36, 0.4, 0.4, 0.41, 0.42]"
18,Easy,Slow,Description,1,"[181.74128571427858, 160.0968750001357, 182.62396666656664, 184.85340476191982, 172.2994375001008, 187.87540625021393, 174.79983333358481]","[21.0, 8.0, 15.0, 21.0, 8.0, 16.0, 12.0]","[1.0810376030565052, 0.41489410345807815, 0.8448767391888828, 1.2702208419574843, 0.4966654467529882, 0.8613976876798933, 0.5961519079878601]","[0.3009157180786133, 2.0640530586242676, 2.4452977180480957, 0.20522189140319824, 2.8014955520629883, 1.4982702732086182, 2.8219833374023438]","[5.0, 3.0, 4.0, 2.0, 1.0, 3.0, 1.0]","[0.2573899054896441, 0.15558528879677933, 0.22530046378370208, 0.1209734135197604, 0.06208318084412352, 0.16151206643998, 0.049679325665655014]","[0.8477831363677979, 0.4427892367045085, 0.7164523601531982, 2.02358341217041, 1.4777820110321045, 1.0666441917419434, 2.3279879093170166]","[23.097984202020573, 7.346908667448059, 17.148517707622904, 24.833145869822836, 9.41433696798472, 17.91638202093362, 12.317593930921133]","[1.41, 1.23, 1.24, 1.23, 1.06, 1.35, 1.23]","[0.46, 0.41, 0.4, 0.38, 0.42, 0.42, 0.41]"
18,Easy,Slow,Description,2,"[196.98554166666327, 165.25280769236326, 191.78093333333285, 181.8374090908037, 177.98850000001818, 153.61984615384034, 191.89920833324928]","[12.0, 13.0, 15.0, 11.0, 14.0, 13.0, 12.0]","[0.6747199648583352, 0.8234679915462689, 0.893813667976253, 0.7458308982778106, 0.6036756428313116, 0.5649295535562723, 0.7122337271631884]","[1.1918840408325195, 2.5977530479431152, 0.07678794860839844, 3.0952794551849365, 2.7997636795043945, 2.9455883502960205, 2.7507991790771484]","[3.0, 2.0, 4.0, 2.0, 2.0, 4.0, 1.0]","[0.1686799912145838, 0.1266873833148106, 0.2383503114603341, 0.13560561786869285, 0.08623937754733021, 0.17382447801731454, 0.059352810596932364]","[0.8892902533213297, 1.1700513362884521, 0.7469828128814697, 1.1121617555618286, 1.2974870204925537, 0.5158272385597229, 2.4600863456726074]","[15.604088701323896, 15.316867744177479, 19.517914386566805, 15.712361536282234, 11.463298305362688, 9.32611308430665, 14.903601824741003]","[1.43, 1.12, 1.18, 0.99, 1.02, 1.03, 1.29]","[0.43, 0.39, 0.36, 0.4, 0.4, 0.41, 0.42]"
18,Easy,Slow,Map,1,"[163.698017857249, 175.00795999985712, 164.2947812500779, 182.57949999989856, 191.1268333334192, 167.8917799998453, 189.92396666671993]","[28.0, 25.0, 16.0, 12.0, 30.0, 25.0, 15.0]","[1.4413834707420068, 1.2965440733064943, 0.9012018551348083, 0.7258404811185625, 1.8624954253237058, 1.3459338869998332, 0.7451898849848252]","[3.045433521270752, 3.305999755859375, 5.6512610912323, 5.143370628356934, 0.15132641792297363, 5.389662265777588, 5.364868879318237]","[4.0, 3.0, 1.0, 1.0, 3.0, 2.0, 1.0]","[0.20591192439171527, 0.15558528879677933, 0.05632511594592552, 0.0604867067598802, 0.18624954253237058, 0.10767471095998667, 0.049679325665655014]","[1.1920503973960876, 1.5929512182871501, 3.011953115463257, 2.3521857261657715, 2.0724855264027915, 2.3352677822113037, 3.1890947818756104]","[25.982079676679948, 26.430784992784, 18.023016674830707, 14.432854830564986, 39.608840061329985, 26.150269559553692, 16.873788035216982]","[1.41, 1.23, 1.24, 1.23, 1.06, 1.35, 1.23]","[0.46, 0.41, 0.4, 0.38, 0.42, 0.42, 0.41]"
18,Easy,Slow,Map,2,"[168.60686666665666, 216.02550000079648, 149.9312857141766, 179.48871739111422, 177.11688333341348, 183.44830000002426, 175.6915294118859]","[15.0, 1.0, 7.0, 23.0, 30.0, 30.0, 17.0]","[0.843399956072919, 0.0633436916574053, 0.41711304505558466, 1.5594646054899677, 1.2935906632099534, 1.3036835851298592, 1.0089977801478502]","[4.300036907196045, 2.9015886783599854, 5.400770425796509, 0.21975159645080566, 0.06776070594787598, 0.10245680809020996, 0.06680822372436523]","[3.0, 1.0, 1.0, 3.0, 5.0, 4.0, 2.0]","[0.1686799912145838, 0.0633436916574053, 0.05958757786508353, 0.20340842680303925, 0.21559844386832555, 0.17382447801731454, 0.11870562119386473]","[0.9701061248779297, 0.21602559089660645, 1.1922485828399658, 1.47008482615153, 1.1438686847686768, 1.4429072141647339, 1.621460199356079]","[17.022138683918637, 1.4139701834011604, 7.788065992312376, 31.153522626517795, 25.26520063123335, 26.08764106183228, 19.646137403572396]","[1.43, 1.12, 1.18, 0.99, 1.02, 1.03, 1.29]","[0.43, 0.39, 0.36, 0.4, 0.4, 0.41, 0.42]"
18,Easy,Slow,Diagnostics,1,"[158.92750000014195, 190.87515957448403, 185.97873863654968, 171.32159302326366, 160.85071951231552, 167.5064210526216, 168.9461727272911]","[38.0, 47.0, 44.0, 43.0, 41.0, 38.0, 55.0]","[1.956163281721295, 2.4375028578162095, 2.478305101620723, 2.6009283906748486, 2.5454104146090644, 2.0458195082397466, 2.7323629116110255]","[1.1132209300994873, 0.28397226333618164, 0.07724857330322266, 7.560996055603027, 1.039344310760498, 9.624256372451782, 1.486344814300537]","[3.0, 2.0, 3.0, 1.0, 2.0, 2.0, 4.0]","[0.15443394329378646, 0.10372352586451954, 0.16897534783777657, 0.0604867067598802, 0.12416636168824705, 0.10767471095998667, 0.19871730266262005]","[2.352227767308553, 5.095756530761719, 3.0259316762288413, 8.722289562225342, 3.750941276550293, 3.5839412212371826, 2.6243966221809387]","[38.452088142462955, 56.367009733861686, 54.31998603588768, 53.51938736868204, 47.79138582138291, 40.132883147217655, 55.5436766253476]","[1.41, 1.23, 1.24, 1.23, 1.06, 1.35, 1.23]","[0.46, 0.41, 0.4, 0.38, 0.42, 0.42, 0.41]"
18,Easy,Slow,Diagnostics,2,"[163.9330999998947, 175.35908333331918, 175.97531521736843, 172.31157894734918, 169.98368656714408, 170.76991666667186, 171.86504054056107]","[40.0, 48.0, 46.0, 38.0, 67.0, 66.0, 37.0]","[2.2490665495277837, 3.040497199555454, 2.7410285817938425, 2.576506739505164, 2.8890191478355622, 2.86810388728569, 2.1960539920864974]","[0.03579211235046387, 0.041634559631347656, 6.680696487426758, 7.325576543807983, 7.551871299743652, 7.469671964645386, 5.98361611366272]","[4.0, 3.0, 2.0, 1.0, 2.0, 3.0, 3.0]","[0.2249066549527784, 0.19003107497221589, 0.11917515573016706, 0.06780280893434643, 0.08623937754733021, 0.13036835851298592, 0.1780584317907971]","[1.869248390197754, 3.19993003209432, 4.786193251609802, 7.521941423416138, 6.930613875389099, 4.493328173955281, 2.3343989054361978]","[43.73212994147641, 62.834300819251176, 62.52922323750113, 53.13411583719997, 61.231976149334386, 60.92924657131531, 42.42650081928754]","[1.43, 1.12, 1.18, 0.99, 1.02, 1.03, 1.29]","[0.43, 0.39, 0.36, 0.4, 0.4, 0.41, 0.42]"
18,Easy,Slow,Actions,1,"[171.35094444478858, 159.59409999995842, 203.103214285615, 133.23800000064995, nan, 132.0079999995869, 158.03553571445914]","[9.0, 5.0, 7.0, 3.0, nan, 1.0, 14.0]","[0.4633018298813593, 0.25930881466129885, 0.3942758116214787, 0.18146012027964062, nan, 0.05383735547999333, 0.6955105593191702]","[0.47892141342163086, 18.520098209381104, 2.779238224029541, 16.327746629714966, nan, 18.460245609283447, 0.27391862869262695]","[2.0, 1.0, 2.0, 1.0, nan, 1.0, 4.0]","[0.10295596219585763, 0.05186176293225977, 0.11265023189185104, 0.0604867067598802, nan, 0.05383735547999333, 0.19871730266262005]","[0.7870254516601562, 0.9358839988708496, 0.7280181646347046, 0.4195585250854492, nan, 0.13200807571411133, 0.6110552549362183]","[8.57705263018954, 5.176167871803032, 8.712674479179485, 2.574383144206482, nan, 0.7391115464910804, 12.932593798338093]","[1.41, 1.23, 1.24, 1.23, 1.06, 1.35, 1.23]","[0.46, 0.41, 0.4, 0.38, 0.42, 0.42, 0.41]"
18,Easy,Slow,Actions,2,"[186.2104642857178, 184.2430000000864, 172.24787500049388, nan, nan, nan, 186.11676470583703]","[14.0, 7.0, 4.0, nan, nan, nan, 17.0]","[0.7871732923347243, 0.4434058416018371, 0.2383503114603341, nan, nan, nan, 1.0089977801478502]","[14.139944076538086, 9.885698080062866, 1.8707847595214844, nan, nan, nan, 9.406819105148315]","[1.0, 1.0, 2.0, nan, nan, nan, 2.0]","[0.0562266637381946, 0.0633436916574053, 0.11917515573016706, nan, nan, nan, 0.11870562119386473]","[2.764005422592163, 1.3139266967773438, 0.3590569496154785, nan, nan, nan, 1.9002264738082886]","[16.166369987746524, 8.600153179570016, 4.690899630918795, nan, nan, nan, 23.023759952399065]","[1.43, 1.12, 1.18, 0.99, 1.02, 1.03, 1.29]","[0.43, 0.39, 0.36, 0.4, 0.4, 0.41, 0.42]"
18,Easy,Fast,Ticket,1,"[179.04281249997211, 168.93550000054347, 167.31544999993275, 210.03418750001399, 177.18405555569916, 184.08322727257408, 188.41276666686704, 184.66077777783437, 185.5860000002849, 218.0734285715776]","[8, 4, 10, 8, 9, 11, 15, 9, 12, 7]","[0.26312229073258664, 0.13986863338924838, 0.40403980075788865, 0.3102009260553433, 0.2816945001221177, 0.3829451097177658, 0.5293195038871455, 0.23579981578139392, 0.3831379396358194, 0.24650476076195968]","[2.2387735843658447, 2.050598382949829, 0.010948419570922852, 1.833742380142212, 0.7066705226898193, 1.2550687789916992, 0.3727073669433594, 2.1247000694274902, 2.2188332080841064, 2.3446009159088135]","[2, 3, 4, 1, 2, 2, 3, 1, 1, 1]","[0.06578057268314666, 0.1049014750419363, 0.16161592030315547, 0.03877511575691791, 0.06259877780491505, 0.06962638358504833, 0.1058639007774291, 0.02619997953126599, 0.031928161636318286, 0.0352149658231371]","[0.7370039224624634, 0.23724118868509927, 0.424286425113678, 1.7082445621490479, 0.8122656345367432, 1.0345932245254517, 0.9580739339192709, 1.6940817832946777, 2.271980047225952, 1.6225385665893555]","[5.098035836444273, 2.6434284536094306, 7.067244300669804, 6.845573321137942, 5.293647757561368, 7.489862063270267, 10.571842795893645, 4.549560972918049, 7.653900496767509, 5.897548750436375]","[1.29, 1.34, 1.26, 1.2, 1.29, 1.2, 1.36, 0.93, 1.37, 1.25]","[0.45, 0.4, 0.37, 0.35, 0.42, 0.4, 0.41, 0.29, 0.42, 0.36]"
