participant_id,difficulty,frequency,condition,errors,completion_time,reaction_time,group,errors_norm,completion_time_norm,reaction_time_norm
11,Easy,Fast,Easy Fast,0.03571428571428571,18.532595096428526,1.147139246428598,Easy - Fast,0.0330075638679509,1.0832771483667456,0.6611033247025129
11,Easy,Slow,Easy Slow,0.0,17.068316928571384,1.696824321428559,Easy - Slow,0.0,1.076818978999019,0.82318248423553
11,Hard,Fast,Hard Fast,0.11764705882352941,32.65247503529415,1.3550977352940876,Hard - Fast,0.09201063244549917,1.1182021513242617,0.7285739024321465
11,Hard,Slow,Hard Slow,0.5833333333333334,27.652618049999926,1.438558674999977,Hard - Slow,0.22752445629616624,1.109497142236938,0.7533683780888335
12,Easy,Fast,Easy Fast,0.045454545454545456,24.098209728409152,1.468937944318052,Easy - Fast,0.04114381273916485,1.101380315711818,0.7621027210134886
12,Easy,Slow,Easy Slow,0.0,18.100271664285703,1.8111309660714596,Easy - Slow,0.0,1.0814657222512232,0.8511853593446282
12,Hard,Fast,Hard Fast,0.05555555555555555,32.07886139861105,1.224578901388813,Hard - Fast,0.04922681095855061,1.117327408697735,0.6872493717035475
12,Hard,Slow,Hard Slow,0.1,38.23832067999997,1.8997601800000212,Hard - Slow,0.08095028931120969,1.1254743696676408,0.8718316088249888
13,Easy,Fast,Easy Fast,0.17391304347826086,24.263782195652173,0.9104999130434521,Easy - Fast,0.12248139005903273,1.1018051674421414,0.5723394118508819
13,Easy,Slow,Easy Slow,0.08333333333333333,24.561231141666685,1.298676466666573,Easy - Slow,0.06974086522547415,1.1025556163331678,0.7111101373628617
13,Hard,Fast,Hard Fast,0.0,35.367507199999935,1.1872007062500813,Hard - Fast,0.0,1.121994857646002,0.6747898521201395
13,Hard,Slow,Hard Slow,0.36363636363636365,37.93103152727269,1.1675628545454773,Hard - Slow,0.1886127688967237,1.1251246349794717,0.6681247061093336
14,Easy,Fast,Easy Fast,0.11538461538461539,19.628272795192235,1.087391136538477,Easy - Fast,0.09063667246996994,1.0875525829113941,0.6400185763185792
14,Easy,Slow,Easy Slow,0.0,20.097136133928554,1.4295605964285767,Easy - Slow,0.0,1.08925637697681,0.7507522856142904
14,Hard,Fast,Hard Fast,0.2222222222222222,34.83128165277776,1.1592433861111304,Hard - Fast,0.14384180562731141,1.1212879526664454,0.6652757113622353
14,Hard,Slow,Hard Slow,0.36363636363636365,37.495483786363614,1.1570659431817902,Hard - Slow,0.1886127688967237,1.1246200882939674,0.6645275298995031
15,Easy,Fast,Easy Fast,0.09375,16.565669756249985,0.7018622281250249,Easy - Fast,0.07683718723953625,1.0743733330853664,0.48037263044697387
15,Easy,Slow,Easy Slow,0.0,16.928409735714208,0.7808347428571422,Easy - Slow,0.0,1.0761509939962242,0.5169390046068277
15,Hard,Fast,Hard Fast,0.13636363636363635,24.552747145454642,0.8768474045454355,Hard - Fast,0.10290916095903505,1.1025344354909916,0.5584736665086479
15,Hard,Slow,Hard Slow,0.16666666666666666,29.045942808333326,1.0043614750000245,Hard - Slow,0.11892436974751901,1.1121917800649976,0.609284901653011
16,Easy,Fast,Easy Fast,0.125,15.842163292968749,0.4932891093749703,Easy - Fast,0.09639019280618358,1.0706168167648722,0.3712946816201155
16,Easy,Slow,Easy Slow,0.14285714285714285,18.267995567857206,0.5795107482142855,Easy - Slow,0.10650376643716354,1.0821774034750944,0.41880710799925047
16,Hard,Fast,Hard Fast,0.38461538461538464,21.860017489423093,0.54201706153841,Hard - Fast,0.19359325791371204,1.0950816443885427,0.39859992728718907
16,Hard,Slow,Hard Slow,0.4166666666666667,28.466951864583404,0.48153602916665744,Hard - Slow,0.20057400252343907,1.111100649939712,0.364522943004902
17,Easy,Fast,Easy Fast,0.10344827586206896,17.410598900000053,1.1724553172414054,Easy - Fast,0.08317468413525471,1.0784135820625056,0.6697930448490019
17,Easy,Slow,Easy Slow,0.0,20.202502223076994,1.4119867076922394,Easy - Slow,0.0,1.0896296696041716,0.7456038592619577
17,Hard,Fast,Hard Fast,0.05555555555555555,32.973348650000005,1.238808799999971,Hard - Fast,0.04922681095855061,1.1186795511271532,0.6919165666158359
17,Hard,Slow,Hard Slow,0.5,45.31287400000002,1.4706312099999024,Hard - Slow,0.2157370602478176,1.1323298021852934,0.762585157489406
18,Easy,Fast,Easy Fast,0.28,21.88117279199998,1.2623507889999943,Easy - Fast,0.16485189036723638,1.095146500265856,0.6995482273647611
